Date,Hours,Wages,Labor Productivity,Labor Participation,Industrial Production,Capacity Utilization,Inventories,Retail Sales,LMV Sales,Durable Goods Orders,Comm & Ind loans,Consumer Credit,CPI,CPI Food,CPI Energy,PCE,PCE ex Food & Energy,PPI Finished Goods,PPI Fin Goods ex Food & Energy,PPI Processed Goods,PPI Unprocessed Goods,House Price Index,WTI Crude,M1,M2,VIX Index,IG Index,HY Index,Fed Funds,US10Y,AAA Yield,BBB Yield,Mortgage Rate,Real GDP,Real PCE,Real Private Investment,Real Pot GDP,Real Pers Income,Personal Saving Rate
1992-01-01,40.70,10.67,61.05,66.30,61.96,79.85,810206.00,118277.00,12.55,117280.00,610.24,799.36,138.67,137.10,101.30,62.80,63.81,122.23,133.17,113.70,97.63,172.82,18.90,924.10,3395.00,17.56,144.04,142.61,4.04,7.27,8.27,9.20,8.69,10236.44,6530.34,1210.48,10533.56,7278.70,9.70
1992-04-01,40.80,10.74,61.57,66.60,63.08,80.79,816972.00,118415.00,12.83,124375.00,602.56,797.53,139.73,137.43,102.23,63.21,64.26,122.93,134.07,114.57,100.00,172.78,21.22,949.60,3397.20,15.62,147.45,146.22,3.78,7.39,8.28,9.13,8.68,10347.43,6574.67,1278.94,10596.35,7349.90,9.90
1992-07-01,40.80,10.80,62.12,66.60,63.58,80.89,826249.00,119426.00,12.78,121237.00,598.31,799.36,140.80,138.23,103.60,63.62,64.64,123.47,134.40,115.20,101.70,174.75,21.67,975.00,3401.00,13.90,155.47,154.35,3.30,6.65,7.99,8.72,8.02,10449.67,6645.14,1289.10,10660.47,7379.50,9.20
1992-10-01,40.90,10.87,62.49,66.30,64.22,81.23,831184.00,120800.00,13.28,125282.00,596.74,802.79,142.03,138.80,104.90,64.06,65.11,124.17,135.07,115.17,102.20,175.63,20.48,1014.80,3425.00,14.76,156.95,155.76,3.04,6.73,8.02,8.86,8.19,10558.65,6724.34,1328.43,10725.48,7443.20,8.80
1993-01-01,41.00,10.96,61.95,66.20,64.81,81.55,839626.00,121427.00,12.98,125751.00,593.43,812.35,143.07,139.43,104.73,64.44,65.56,124.70,135.87,115.87,101.53,175.71,19.83,1034.10,3415.10,13.26,163.62,162.17,3.04,6.31,7.74,8.43,7.72,10576.28,6750.12,1359.75,10791.44,7409.00,8.70
1993-04-01,41.10,11.01,61.59,66.30,64.94,81.36,847732.00,123370.00,14.21,128045.00,587.97,821.11,144.10,140.53,104.37,64.87,66.06,125.53,136.50,116.40,104.20,177.39,19.74,1062.90,3430.20,12.97,168.46,167.88,3.00,6.00,7.43,8.15,7.45,10637.85,6811.52,1367.58,10859.19,7468.60,8.20
1993-07-01,41.20,11.07,61.86,66.30,65.19,81.30,851782.00,125080.00,13.70,128241.00,587.01,834.79,144.77,141.03,103.27,65.16,66.43,124.37,135.47,116.27,101.20,178.83,17.81,1094.30,3446.60,12.12,175.16,174.65,3.05,5.64,6.92,7.66,7.09,10688.61,6887.33,1358.29,10927.95,7478.70,7.30
1993-10-01,41.30,11.15,62.10,66.30,66.20,82.12,859161.00,126518.00,14.61,132375.00,583.86,856.60,145.97,142.37,104.47,65.53,66.77,124.33,135.33,116.37,102.80,180.29,16.43,1122.30,3467.10,12.42,178.17,177.78,3.00,5.60,6.84,7.55,7.05,10833.99,6947.79,1429.66,10997.69,7551.20,7.10
1994-01-01,41.30,11.24,62.28,66.60,67.02,82.57,866481.00,128330.00,15.07,137396.00,590.09,881.24,146.70,142.77,103.73,65.77,67.08,124.97,136.33,116.83,103.23,181.42,14.83,1136.00,3476.90,13.44,176.68,177.71,3.19,6.04,7.14,7.83,7.30,10939.12,7027.26,1484.12,11068.29,7578.90,6.70
1994-04-01,41.80,11.29,62.34,66.50,68.24,83.40,881202.00,130071.00,14.90,142676.00,604.80,912.69,147.53,143.37,103.20,66.13,67.53,125.13,136.93,117.37,102.90,182.50,17.83,1143.20,3483.90,14.51,169.73,171.33,3.92,7.05,7.91,8.56,8.43,11087.36,7081.93,1557.11,11139.62,7687.30,6.90
1994-07-01,41.70,11.36,61.98,66.50,69.11,83.68,901538.00,131556.00,14.81,145461.00,621.17,944.44,148.90,145.00,105.77,66.61,67.90,125.93,137.53,119.00,101.00,183.25,18.47,1151.10,3486.70,12.52,170.50,172.88,4.49,7.33,8.17,8.84,8.59,11152.18,7135.93,1531.67,11212.44,7725.40,6.70
1994-10-01,41.80,11.45,62.63,66.70,70.52,84.54,919775.00,133542.00,15.40,150691.00,637.91,982.40,149.77,145.90,105.90,66.92,68.25,126.07,137.63,120.87,99.83,183.10,17.64,1150.60,3486.00,15.27,168.65,171.97,5.17,7.84,8.57,9.21,9.11,11279.93,7213.08,1594.68,11286.43,7823.10,7.00
1995-01-01,41.70,11.52,62.68,66.80,71.25,84.56,943297.00,132617.00,14.56,152401.00,664.82,1020.86,150.87,147.03,105.67,67.25,68.61,127.17,138.70,123.60,102.43,184.06,18.38,1148.50,3491.10,11.99,175.62,178.69,5.77,7.48,8.28,8.88,8.79,11319.95,7231.03,1611.43,11361.03,7882.00,7.50
1995-04-01,41.10,11.60,62.97,66.60,71.47,83.93,964810.00,133577.00,14.47,151430.00,684.85,1056.85,152.10,148.20,106.03,67.64,69.01,127.77,139.60,125.23,103.03,187.09,19.34,1146.30,3524.10,12.19,188.05,191.32,6.02,6.60,7.64,8.22,7.92,11353.72,7294.42,1577.96,11437.00,7924.50,6.80
1995-07-01,41.20,11.70,62.97,66.60,72.16,83.79,976353.00,134855.00,14.76,154487.00,702.43,1091.32,152.87,148.73,105.17,67.92,69.34,128.00,140.20,125.57,101.10,189.97,17.87,1144.30,3586.20,12.47,193.97,197.83,5.79,6.32,7.43,8.06,7.70,11450.31,7360.53,1568.56,11513.80,7996.60,6.70
1995-10-01,41.10,11.78,63.31,66.50,72.74,83.43,985458.00,135597.00,15.12,158299.00,711.31,1128.81,153.70,149.67,104.07,68.21,69.69,128.80,141.27,125.33,104.17,191.43,18.13,1133.00,3620.90,12.90,202.38,205.80,5.77,5.90,6.99,7.64,7.34,11528.07,7411.87,1607.51,11592.65,8076.60,6.50
1996-01-01,40.70,11.87,63.70,66.50,73.25,82.89,990384.00,136412.00,15.11,157185.00,724.45,1162.68,155.07,150.87,107.43,68.59,69.96,129.97,141.57,125.27,110.40,193.58,19.76,1121.50,3665.50,15.40,205.19,209.41,5.36,5.90,7.04,7.70,7.27,11614.42,7480.23,1633.33,11673.20,8156.80,6.50
1996-04-01,41.30,11.98,64.32,66.70,74.82,83.51,993000.00,137903.00,15.20,161977.00,736.75,1190.99,156.40,152.27,111.17,69.05,70.30,131.03,141.93,125.90,113.67,193.89,21.71,1118.80,3709.90,16.37,199.93,204.85,5.25,6.72,7.61,8.29,8.10,11808.14,7560.70,1711.81,11759.06,8258.40,6.30
1996-07-01,41.50,12.09,64.55,66.80,75.79,83.42,999470.00,138152.00,15.00,162113.00,750.40,1219.22,157.30,153.97,109.87,69.35,70.62,131.50,142.23,125.73,114.20,194.76,22.34,1103.40,3744.80,16.78,203.42,208.79,5.29,6.78,7.59,8.29,8.15,11914.06,7606.48,1789.57,11851.39,8336.90,6.40
1996-10-01,41.50,12.20,64.61,67.00,76.83,83.39,1004497.00,139499.00,15.07,166127.00,772.18,1242.40,158.67,155.97,112.07,69.82,71.02,132.60,142.23,126.07,116.70,196.28,24.63,1083.50,3795.50,17.21,212.12,218.15,5.29,6.36,7.24,7.93,7.70,12037.78,7667.06,1787.19,11950.00,8407.90,6.10
1997-01-01,41.60,12.32,64.48,67.00,78.29,83.75,1009618.00,140961.00,15.23,166539.00,789.09,1261.45,159.63,156.33,114.40,70.13,71.30,132.77,142.50,126.40,117.20,197.90,22.85,1077.50,3847.40,19.92,213.15,220.02,5.24,6.55,7.42,8.07,7.79,12115.47,7747.88,1823.26,12054.72,8516.20,6.00
1997-04-01,41.70,12.42,65.43,67.10,79.41,83.66,1019275.00,140333.00,14.53,172489.00,808.97,1278.54,160.00,156.67,109.93,70.30,71.67,131.53,142.47,125.47,107.70,199.53,19.92,1064.60,3890.70,19.92,215.37,222.58,5.53,6.71,7.58,8.20,7.93,12317.22,7782.76,1935.16,12164.94,8610.70,6.30
1997-07-01,41.70,12.56,65.97,67.20,81.27,84.18,1029736.00,142687.00,15.22,177999.00,822.90,1294.88,160.80,157.63,110.80,70.49,71.84,131.30,142.37,125.30,107.13,202.25,19.80,1069.20,3951.50,22.45,224.89,233.13,5.55,6.26,7.18,7.77,7.47,12471.01,7915.36,1962.05,12281.12,8739.70,5.80
1997-10-01,41.90,12.71,66.28,67.20,83.33,84.73,1041299.00,142568.00,15.51,180919.00,839.61,1315.53,161.67,158.53,111.00,70.71,72.07,131.63,142.43,125.47,112.67,204.88,19.96,1069.60,4013.30,27.09,231.85,240.54,5.51,5.92,6.89,7.45,7.21,12577.50,8009.96,1990.86,12402.11,8897.20,6.00
1998-01-01,41.70,12.83,66.89,67.10,84.27,84.04,1054499.00,143283.00,14.75,177481.00,861.41,1325.76,162.00,159.53,105.30,70.72,72.28,130.60,142.77,124.17,101.03,207.95,15.94,1076.20,4086.50,21.32,238.62,246.93,5.52,5.60,6.67,7.26,7.05,12703.74,8090.99,2078.21,12527.60,9109.80,7.00
1998-04-01,41.40,12.96,67.23,67.00,84.83,83.01,1061961.00,146027.00,16.18,177913.00,877.25,1365.83,162.53,160.07,103.07,70.84,72.50,130.53,143.47,123.40,99.10,209.81,14.64,1077.30,4162.90,21.53,242.52,250.84,5.48,5.60,6.64,7.26,7.10,12821.34,8233.46,2065.34,12658.12,9265.10,6.70
1998-07-01,41.40,13.06,68.15,67.10,85.47,82.25,1067072.00,145346.00,14.83,176971.00,904.57,1388.23,163.37,160.90,102.23,71.06,72.76,130.50,143.87,122.67,94.13,212.75,14.22,1077.00,4233.40,29.75,248.38,255.21,5.55,5.24,6.50,7.13,6.87,12982.75,8340.83,2118.99,12792.11,9380.90,6.40
1998-10-01,41.40,13.17,68.67,67.20,86.66,82.17,1075998.00,148937.00,16.42,179784.00,937.57,1411.61,164.13,162.20,100.90,71.25,72.99,131.00,144.77,121.83,92.57,215.26,12.93,1092.00,4343.10,29.54,254.62,257.77,4.87,4.66,6.34,7.24,6.76,13191.67,8461.33,2183.38,12929.70,9469.90,5.80
1999-01-01,41.30,13.30,69.62,67.10,87.62,82.01,1083284.00,151164.00,16.33,185587.00,939.47,1441.14,164.73,163.20,99.77,71.39,73.17,131.47,145.67,121.03,89.87,217.52,13.17,1097.10,4420.00,27.25,256.14,261.03,4.73,4.96,6.40,7.39,6.88,13315.60,8548.24,2243.55,13070.85,9556.90,5.90
1999-04-01,41.30,13.42,69.87,67.10,88.46,81.81,1095868.00,153175.00,16.77,183849.00,946.51,1468.38,165.97,163.67,104.97,71.80,73.43,132.27,145.73,122.23,95.03,220.43,17.65,1101.70,4484.40,24.40,253.40,260.64,4.75,5.51,6.91,7.72,7.18,13426.75,8679.14,2244.68,13214.56,9582.20,4.50
1999-07-01,41.50,13.55,70.51,67.00,89.26,81.65,1107401.00,155302.00,17.14,189136.00,967.51,1502.22,167.20,164.23,109.33,72.19,73.70,133.57,146.00,124.03,102.03,223.55,21.72,1098.30,4551.30,23.32,250.86,257.64,5.09,5.88,7.32,8.09,7.79,13604.77,8776.72,2306.47,13360.46,9665.80,4.10
1999-10-01,41.40,13.67,71.55,67.10,90.85,82.22,1127121.00,157655.00,17.34,192496.00,993.18,1524.57,168.43,165.27,112.43,72.63,74.04,134.83,146.93,125.37,105.97,225.85,24.60,1112.10,4613.30,22.66,252.73,258.82,5.32,6.13,7.48,8.24,7.84,13827.98,8905.09,2367.99,13508.53,9820.10,3.90
2000-01-01,41.50,13.80,71.26,67.30,91.75,82.18,1145708.00,159756.00,18.27,192467.00,1015.58,1549.72,170.10,166.10,119.37,73.22,74.43,136.37,147.17,127.43,110.33,230.17,28.90,1112.70,4685.30,23.15,252.84,260.24,5.64,6.47,7.71,8.33,8.26,13878.15,9039.74,2351.22,13657.54,10041.60,4.10
2000-04-01,41.40,13.94,72.69,67.20,92.88,82.35,1165263.00,158635.00,17.33,201132.00,1050.04,1587.86,171.43,167.13,122.57,73.57,74.69,137.33,147.67,128.60,117.07,233.92,28.92,1107.70,4763.90,24.92,255.33,259.00,6.26,6.18,7.77,8.61,8.32,14130.91,9124.15,2490.50,13802.28,10149.20,4.30
2000-07-01,41.20,14.07,72.63,66.90,92.80,81.47,1180702.00,158590.00,17.40,192647.00,1071.00,1650.12,173.00,168.63,126.77,74.04,75.05,138.37,148.30,129.73,121.77,238.19,31.63,1101.10,4820.00,19.17,263.74,268.43,6.52,5.89,7.60,8.31,8.02,14145.31,9211.57,2466.38,13940.47,10283.70,4.50
2000-10-01,40.80,14.23,73.38,66.90,92.55,80.44,1194284.00,158552.00,16.40,188070.00,1081.21,1700.84,174.23,169.40,129.63,74.46,75.42,140.07,148.70,130.90,133.47,241.83,32.06,1093.20,4891.50,26.02,272.60,273.46,6.51,5.57,7.41,8.21,7.62,14229.77,9292.05,2471.53,14071.30,10347.70,4.20
2001-01-01,40.60,14.36,72.98,67.20,91.41,78.68,1191871.00,158056.00,17.18,179847.00,1093.55,1746.37,175.90,171.07,133.60,75.01,75.91,141.60,149.40,131.63,146.57,247.82,28.76,1102.30,5020.60,25.73,287.71,287.23,5.61,5.05,7.08,7.89,7.01,14183.12,9325.75,2358.97,14194.96,10424.80,4.70
2001-04-01,40.40,14.50,74.24,66.80,90.25,76.96,1179906.00,158584.00,16.71,175316.00,1081.81,1782.21,177.13,172.53,135.87,75.36,76.20,142.03,150.03,130.97,127.80,251.97,27.92,1120.50,5147.50,23.92,292.78,292.55,4.37,5.28,7.22,8.04,7.13,14271.69,9344.49,2362.65,14311.60,10383.20,4.40
2001-07-01,40.40,14.59,74.66,66.70,89.01,75.30,1161962.00,157068.00,16.07,168245.00,1059.66,1805.99,177.63,173.93,129.27,75.40,76.40,140.70,150.57,129.27,110.93,255.88,26.70,1164.90,5263.00,25.38,301.82,302.49,3.55,4.99,7.10,7.94,6.96,14214.52,9377.00,2311.41,14421.41,10351.30,6.30
2001-10-01,40.10,14.70,75.59,66.70,88.03,73.98,1127980.00,162507.00,18.53,166882.00,1033.43,1851.85,177.50,174.80,117.90,75.43,76.76,138.50,150.13,126.90,98.53,259.05,20.50,1173.30,5383.90,27.91,310.44,307.85,2.19,4.76,6.93,7.92,6.77,14253.57,9528.30,2196.55,14525.43,10277.60,3.30
2002-01-01,40.30,14.79,77.18,66.60,88.69,74.15,1112480.00,159645.00,16.67,167861.00,1013.66,1881.34,178.07,175.70,115.10,75.58,77.00,138.17,150.03,125.87,100.67,262.77,21.64,1191.50,5477.60,21.36,312.82,308.39,1.72,5.08,6.62,7.95,6.97,14372.79,9549.52,2262.07,14624.27,10283.80,5.50
2002-04-01,40.60,14.88,77.30,66.70,90.05,75.07,1110068.00,159948.00,16.60,169925.00,991.81,1915.25,179.47,176.03,121.67,76.15,77.42,138.63,150.33,127.20,107.40,267.24,26.27,1189.80,5521.10,21.64,317.44,307.56,1.75,5.11,6.72,8.03,6.81,14460.85,9597.82,2298.94,14719.75,10309.20,5.90
2002-07-01,40.50,15.01,77.90,66.60,90.61,75.45,1122998.00,160992.00,17.42,172749.00,971.78,1945.79,180.43,176.23,123.07,76.54,77.84,138.83,150.07,128.20,108.53,272.55,28.32,1194.10,5625.60,35.07,331.15,308.55,1.74,4.29,6.36,7.64,6.29,14519.63,9664.99,2295.98,14813.45,10301.80,5.40
2002-10-01,40.40,15.15,77.78,66.40,90.56,75.44,1134178.00,160698.00,16.57,167706.00,960.35,1964.81,181.50,176.80,126.90,76.90,78.11,139.90,150.10,129.90,116.03,276.42,28.30,1211.30,5741.00,30.73,340.68,316.53,1.48,4.01,6.28,7.61,6.08,14537.58,9718.75,2293.75,14905.92,10342.40,5.50
2003-01-01,40.30,15.26,78.55,66.40,91.13,75.99,1145591.00,160471.00,16.14,172117.00,943.22,1992.39,183.37,177.87,139.40,77.48,78.35,142.60,150.13,133.83,138.17,279.78,34.04,1234.90,5835.60,30.02,351.20,333.85,1.24,3.92,6.02,7.13,5.84,14614.14,9766.62,2312.47,14998.24,10302.70,5.10
2003-04-01,40.20,15.32,79.58,66.40,90.45,75.50,1145893.00,162352.00,16.42,171465.00,925.56,2024.96,183.07,179.00,131.90,77.56,78.65,142.27,150.03,132.87,131.20,283.20,28.98,1266.60,5951.40,21.53,362.55,354.65,1.25,3.63,5.32,6.48,5.51,14743.57,9878.44,2327.49,15091.22,10402.80,5.10
2003-07-01,40.30,15.41,81.35,66.10,91.05,76.05,1136543.00,165640.00,17.22,175018.00,910.33,2048.76,184.43,180.40,137.63,78.07,79.01,143.50,150.40,133.67,132.37,287.57,30.22,1293.70,6072.10,19.32,357.95,353.02,1.02,4.22,5.69,6.80,6.03,14988.78,10018.12,2411.64,15184.29,10473.80,5.50
2003-10-01,40.70,15.45,82.11,66.00,91.93,76.82,1145336.00,165780.00,16.78,182301.00,884.07,2069.75,185.13,182.57,137.83,78.46,79.37,144.83,151.03,134.47,139.50,295.71,31.17,1301.00,6066.70,17.43,361.66,361.89,1.00,4.28,5.65,6.66,5.92,15162.76,10087.09,2493.93,15278.80,10593.50,5.00
2004-01-01,41.00,15.53,81.87,66.00,92.58,77.39,1158404.00,167389.00,16.59,183742.00,873.50,2097.77,186.70,183.83,144.93,79.06,79.80,145.97,151.50,137.60,150.90,300.36,35.34,1318.70,6113.30,16.66,370.52,375.60,1.00,4.03,5.46,6.29,5.60,15248.68,10181.14,2498.14,15375.24,10592.40,4.60
2004-04-01,40.90,15.63,82.72,66.00,93.12,77.87,1184876.00,167837.00,16.67,184489.00,865.56,2120.51,188.17,185.70,147.50,79.59,80.26,148.00,152.33,141.33,159.43,307.69,38.32,1336.30,6243.30,16.21,363.40,366.80,1.01,4.56,5.90,6.64,6.11,15366.85,10236.69,2597.51,15473.37,10703.50,5.00
2004-07-01,40.80,15.73,83.11,66.00,93.64,78.32,1213812.00,169351.00,17.01,186336.00,882.62,2146.89,189.37,186.90,151.83,79.99,80.55,148.53,152.87,144.03,159.00,319.40,43.89,1352.50,6313.40,15.45,371.24,377.03,1.42,4.34,5.68,6.48,5.89,15512.62,10356.94,2638.67,15573.87,10813.30,4.50
2004-10-01,40.60,15.84,83.47,65.90,94.97,79.37,1235195.00,171795.00,17.20,190437.00,897.73,2184.24,191.40,188.20,161.57,80.67,80.98,151.57,154.10,147.40,166.97,326.24,48.30,1370.80,6397.10,13.65,377.52,387.23,1.95,4.17,5.48,6.19,5.74,15670.88,10474.08,2693.58,15675.86,10956.10,4.50
2005-01-01,40.60,15.93,84.38,65.90,96.29,80.31,1260972.00,172464.00,16.57,192653.00,933.10,2209.51,192.37,188.80,160.83,81.14,81.56,152.77,155.43,149.57,165.87,333.72,49.90,1369.70,6433.10,12.79,378.96,391.28,2.46,4.29,5.32,5.96,5.77,15844.73,10540.64,2769.26,15776.04,10852.20,2.50
2005-04-01,40.40,16.04,84.29,66.10,96.84,80.51,1275703.00,174716.00,17.39,203830.00,967.48,2237.68,193.67,190.50,164.57,81.65,81.96,154.00,156.20,151.00,169.87,344.41,53.11,1368.20,6478.30,13.41,383.46,390.11,2.94,4.19,5.17,5.99,5.71,15922.78,10657.45,2733.23,15873.33,10956.70,2.20
2005-07-01,40.50,16.17,84.88,66.10,96.42,79.85,1275911.00,175302.00,17.98,201104.00,995.45,2265.30,196.60,191.17,188.17,82.53,82.28,156.70,156.93,154.23,185.40,354.89,63.31,1375.10,6570.60,12.25,386.31,395.12,3.45,4.20,5.08,5.97,5.76,16047.59,10745.87,2769.11,15968.89,11018.90,1.80
2005-10-01,40.90,16.32,84.87,66.00,97.30,80.24,1302101.00,174508.00,15.85,217378.00,1024.36,2283.81,198.43,192.50,194.83,83.19,82.83,159.60,156.80,160.93,208.20,362.92,60.03,1375.60,6658.50,12.78,384.24,390.78,3.97,4.49,5.38,6.33,6.23,16136.73,10765.68,2857.35,16061.95,11148.90,2.50
2006-01-01,41.00,16.48,85.47,66.10,98.23,80.66,1330275.00,178427.00,16.83,218822.00,1058.73,2376.09,199.47,193.77,194.23,83.62,83.31,159.50,157.97,161.83,189.80,368.67,63.27,1380.40,6745.30,12.04,387.05,394.22,4.43,4.57,5.39,6.31,6.25,16353.84,10883.08,2899.23,16152.34,11380.40,3.20
2006-04-01,41.20,16.67,85.37,66.10,98.81,80.75,1362526.00,177544.00,16.36,217221.00,1102.37,2400.22,201.27,194.20,199.37,84.36,83.98,160.87,158.80,164.20,181.93,372.45,70.46,1381.30,6817.30,14.53,383.47,388.75,4.90,5.07,5.90,6.74,6.60,16396.15,10939.50,2882.56,16240.36,11446.10,3.00
2006-07-01,41.20,16.82,85.19,66.10,99.20,80.61,1389566.00,176974.00,16.48,218223.00,1144.69,2415.21,203.17,195.73,205.97,84.96,84.43,161.10,158.67,165.57,183.40,375.51,70.48,1369.70,6915.90,13.61,391.78,397.62,5.24,4.90,5.68,6.59,6.56,16420.74,11009.75,2871.59,16324.19,11443.90,2.40
2006-10-01,41.10,16.99,85.75,66.30,99.44,80.26,1405907.00,178162.00,16.34,223668.00,1171.22,2442.29,202.33,197.00,186.97,84.82,84.79,159.93,159.47,163.83,184.47,379.35,59.94,1369.20,7031.10,11.03,402.66,411.11,5.25,4.63,5.39,6.29,6.24,16561.87,11114.77,2818.23,16403.59,11623.70,2.60
2007-01-01,41.10,17.15,86.05,66.30,100.46,80.52,1417495.00,178608.00,16.37,224486.00,1204.52,2470.81,204.32,199.52,194.27,85.60,85.38,162.57,160.67,165.37,196.70,380.76,58.08,1367.10,7131.30,12.56,407.63,417.68,5.25,4.68,5.36,6.30,6.21,16611.69,11183.32,2800.04,16483.84,11715.30,2.70
2007-04-01,41.30,17.34,86.31,66.00,101.62,80.96,1437277.00,178301.00,16.11,230375.00,1244.96,2507.62,206.63,201.75,207.25,86.32,85.73,165.80,161.37,169.47,204.90,380.51,64.97,1375.70,7251.80,13.73,409.05,419.22,5.25,4.85,5.58,6.49,6.36,16713.31,11212.67,2827.01,16565.40,11806.90,2.80
2007-07-01,41.30,17.50,87.07,65.90,101.71,80.72,1453520.00,178552.00,15.91,231802.00,1313.15,2551.14,207.94,204.08,208.93,86.81,86.15,166.93,162.23,171.10,201.83,376.26,75.22,1374.60,7365.80,21.59,411.24,419.27,5.10,4.74,5.76,6.63,6.55,16809.59,11287.47,2794.53,16648.12,11806.30,2.40
